team_naam,team_afkorting,team_landcode,team_status,renner_naam,renner_landcode,geboortedatum,geboorteplaats,gewicht,lengte
"UAE Team Emirates","UAD","AE","World Tour","João  Almeida","PT","1998-08-05","Caldas da Rainha","63","1.78"
"INEOS Grenadiers","IGD","GB","World Tour","Richard  Carapaz","EC","1993-05-29","El Carmelo","62","1.7"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Pau  Miquel","ES","2000-08-20","Sant Quirze del Vallès","60","1.8"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Mark  Cavendish","GB","1985-05-21","Douglas","70","1.75"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Enrico  Battaglin","IT","1989-11-17","Marostica","64","1.75"
"Team DSM","DSM","NL","World Tour","Kevin  Vermaerke","US","2000-10-16","Rancho Santa Margarita","67","1.81"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Madis  Mihkels","EE","2003-05-31","Tartu","75","1.84"
"Trek - Segafredo","TFS","US","World Tour","Julien  Bernard","FR","1992-03-17","Nevers","60","1.76"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Enrico  Zanoncello","IT","1997-08-02","Isola della Scala","64","1.7"
"Israel - Premier Tech","IPT","IL","World Tour","Rudy  Barbier","FR","1992-12-18","Beauvais ","78","1.79"
"Bahrain - Victorious","TBV","BH","World Tour","Wout  Poels","NL","1987-10-01","Venray","66","1.86"
"EF Education-EasyPost","EFE","US","World Tour","Alex  Howes","US","1988-01-01","Denver","61","1.8"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Jérémy  Lecroq","FR","1995-04-07","Paris","70","1.89"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Jordi  López","ES","1998-08-14","Badalona","59","1.7"
"BORA - hansgrohe","BOH","DE","World Tour","Ide  Schelling","NL","1998-02-06","The Hague","66","1.82"
"Bahrain - Victorious","TBV","BH","World Tour","Fred  Wright","GB","1999-06-13","London","75","1.84"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Juan José  Lobato","ES","1988-12-29","Trebujena","64","1.73"
"Lotto Soudal","LTS","BE","World Tour","Thomas De Gendt","BE","1986-11-06"," Sint-Niklaas","73","1.79"
"Jumbo-Visma","TJV","NL","World Tour","Primož  Roglič","SI","1989-10-29","Trbovlje","65","1.77"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Calum  Johnston","GB","1998-11-01","Glasgow","55","1.73"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Gerben  Thijssen","BE","1998-06-21","Genk","74","1.74"
"BORA - hansgrohe","BOH","DE","World Tour","Matteo  Fabbro","IT","1995-04-10","Udine","52","1.67"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Jack  Bauer","NZ","1985-04-07","Takaka","74","1.91"
"Jumbo-Visma","TJV","NL","World Tour","Milan  Vader","NL","1996-02-18","Middelburg","63","1.73"
"Team DSM","DSM","NL","World Tour","Henri  Vandenabeele","BE","2000-04-15",,,"1.81"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Diego  López","ES","1997-12-09","Oteiza","70","1.9"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Ludovic  Robeet","BE","1994-05-22","Nivelles","75","1.94"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Fredrik  Dversnes","NO","1997-03-20",,,
"B&B Hotels - KTM","BBK","FR","Pro Tour","Alan  Boileau","FR","1999-06-25","Morlaix","57","1.71"
"TotalEnergies","TEN","FR","Pro Tour","Alexandre  Geniez","FR","1988-04-16","Rodez","68","1.84"
"BORA - hansgrohe","BOH","DE","World Tour","Ryan  Mullen","IE","1994-08-07","Birkenhead","77","1.89"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Martin  Marcellusi","IT","2000-04-05","Roma","62","1.72"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Pieter  Serry","BE","1988-11-21","Aalter","66","1.86"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Louis  Vervaeke","BE","1993-10-06"," Ronse","68","1.8"
"Astana Qazaqstan Team","AST","KZ","World Tour","Nurbergen  Nurlykhassym","KZ","2000-03-25","Astana","65","1.81"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Lucas  Hamilton","AU","1996-02-12"," Ararat","71","1.84"
"UAE Team Emirates","UAD","AE","World Tour","Marc  Soler","ES","1993-11-22","Vilanova i la Geltrú","68","1.84"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Thibault  Guernalec","FR","1997-07-31","Châteaulin","71","1.85"
"Astana Qazaqstan Team","AST","KZ","World Tour","Christian  Scaroni","IT","1997-10-16","Brescia","63","1.75"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Eliot  Lietaer","BE","1990-08-15","Kortrijk","70","1.88"
"Team DSM","DSM","NL","World Tour","Nils  Eekhoff","NL","1998-01-23","Rijsenhout","75","1.92"
"Groupama - FDJ","GFC","FR","World Tour","Fabian  Lienhard","CH","1993-09-03","Steinmaur","73","1.83"
"EF Education-EasyPost","EFE","US","World Tour","Jonathan Klever  Caicedo","EC","1993-04-28","Santa Martha de Cuba","62","1.64"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Hugo  Hofstetter","FR","1994-02-13","Altkirch","65","1.7"
"Cofidis","COF","FR","World Tour","Szymon  Sajnok","PL","1997-08-24","Kartuzy","75","1.83"
"Bahrain - Victorious","TBV","BH","World Tour","Jack  Haig","AU","1993-09-06","Southport","67","1.9"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Gabriele  Benedetti","IT","2000-06-09","Montevarchi","63","1.69"
"Lotto Soudal","LTS","BE","World Tour","Sébastien  Grignard","BE","1999-04-29","Mons","68","1.79"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Hugo  Page","FR","2001-07-24","Chartres","71","1.85"
"AG2R Citroën Team","ACT","FR","World Tour","Thomas  Delphis","FR","1999-06-01","Annecy","70","1.85"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Yesid Albeiro  Pira","CO","1999-06-28","Siachoque","59","1.72"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Jay  Vine","AU","1995-11-16","Townsville","69","1.81"
"EOLO-Kometa","EOK","IT","Pro Tour","Diego  Rosa","IT","1989-03-27","Corneliano d'Alba","65","1.78"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Corné van Kessel","NL","1991-08-07","Veldhoven","68","1.77"
"UAE Team Emirates","UAD","AE","World Tour","Maximiliano  Richeze","AR","1983-03-07","Bella Vista","68","1.77"
"Israel - Premier Tech","IPT","IL","World Tour","Alex  Dowsett","GB","1988-10-03","Maldon","75","1.82"
"Cofidis","COF","FR","World Tour","Florentin  Lecamus-Lambert","FR","1999-05-13","Rennes","79","1.88"
"Lotto Soudal","LTS","BE","World Tour","Florian  Vermeersch","BE","1999-03-12","Ghent","85","1.93"
"Lotto Soudal","LTS","BE","World Tour","Jarrad  Drizners","AU","1999-05-31","Adelaide","70","1.86"
"Movistar Team","MOV","ES","World Tour","Max  Kanter","DE","1997-10-22","Cottbus","68","1.76"
"EF Education-EasyPost","EFE","US","World Tour","Simon  Carr","GB","1998-08-29","Hereford","63","1.83"
"UAE Team Emirates","UAD","AE","World Tour","Kasper  Andersen","DK","2002-07-01",,,
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Scott  Thwaites","GB","1990-02-12","Steeton","71","1.78"
"UAE Team Emirates","UAD","AE","World Tour","George  Bennett","NZ","1990-04-07","Nelson","58","1.8"
"EOLO-Kometa","EOK","IT","Pro Tour","Simone  Bevilacqua","IT","1997-02-22","Thiene","75","1.81"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Jacob  Hindsgaul","DK","2000-07-14","Middelfart","67","1.9"
"Groupama - FDJ","GFC","FR","World Tour","Matteo  Badilatti","CH","1992-07-30","Poschiavo","62","1.78"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Adrien  Petit","FR","1990-09-26","Arras","80","1.88"
"Lotto Soudal","LTS","BE","World Tour","Matthew  Holmes","GB","1993-12-08","Wigan","67","1.78"
"Burgos-BH","BBH","ES","Pro Tour","Diego  Rubio","ES","1991-06-13","Navaluenga","81","1.91"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Alex  Colman","BE","1998-07-22","Moerzeke","73","1.84"
"INEOS Grenadiers","IGD","GB","World Tour","Pavel  Sivakov","FR","1997-07-11","San Donà di Piave","70","1.88"
"Cofidis","COF","FR","World Tour","Eddy  Finé","FR","1997-11-20","Herbeys","70","1.8"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Campbell  Stewart","NZ","1998-05-12","Palmerston North","76","1.8"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Mattia  Cattaneo","IT","1990-10-25","Alzano Lombardo","67","1.84"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Filippo  Zana","IT","1999-03-18","Thiene","65","1.85"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Michael  Hepburn","AU","1991-08-17","Brisbane","77","1.86"
"Jumbo-Visma","TJV","NL","World Tour","Chris  Harper","AU","1994-11-23","Melbourne","67","1.85"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Ruben  Apers","BE","1998-08-25","Vrasene","70","1.79"
"Groupama - FDJ","GFC","FR","World Tour","Rudy  Molard","FR","1989-09-17"," Gleizé","62","1.78"
"Groupama - FDJ","GFC","FR","World Tour","Quentin  Pacher","FR","1992-01-06","Libourne","62","1.79"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Ailetz  Lasa","ES","2000-03-15",,,
"Equipo Kern Pharma","EKP","ES","Pro Tour","Francisco  Galván","ES","1997-12-01","Lliçà d'Amunt","71","1.76"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Niklas  Larsen","DK","1997-03-22","Slagelse","74","1.83"
"Groupama - FDJ","GFC","FR","World Tour","Ramon  Sinkeldam","NL","1989-02-09","Zaandam","77","1.93"
"Trek - Segafredo","TFS","US","World Tour","Daan  Hoole","NL","1999-02-22","Zuidland","82","1.98"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Samuele  Zoccarato","IT","1998-01-09","Camposampiero","74","1.83"
"TotalEnergies","TEN","FR","Pro Tour","Antoine  Devanne","FR","2000-09-16",,,
"B&B Hotels - KTM","BBK","FR","Pro Tour","Florian  Dauphin","FR","1999-04-06",,"70","1.81"
"Team DSM","DSM","NL","World Tour","John  Degenkolb","DE","1989-01-07","Gera","82","1.8"
"Team DSM","DSM","NL","World Tour","Florian  Stork","DE","1997-04-27","Bünde","65","1.85"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Jhonatan  Restrepo","CO","1994-11-28","Pácora","73","1.78"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Boy van Poppel","NL","1988-01-18","Utrecht","78","1.86"
"Bahrain - Victorious","TBV","BH","World Tour","Jasha  Sütterlin","DE","1992-11-04"," Freiburg im Breisgau","78","1.84"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Théo  Delacroix","FR","1999-02-21","Lons-le-Saunier","70","1.86"
"Cofidis","COF","FR","World Tour","Wesley  Kreder","NL","1990-11-04","Leiden","71","1.82"
"EOLO-Kometa","EOK","IT","Pro Tour","Erik  Fetter","HU","2000-04-05","Budapest","70","1.88"
"Groupama - FDJ","GFC","FR","World Tour","Jake  Stewart","GB","1999-10-02","Coventry","66","1.79"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Lorenzo  Rota","IT","1995-05-23","Bergamo","62","1.73"
"BORA - hansgrohe","BOH","DE","World Tour","Jonas  Koch","DE","1993-06-25","Schwäbisch Hall","75","1.87"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Anders Halland  Johannessen","NO","1999-08-23",,,"1.76"
"Groupama - FDJ","GFC","FR","World Tour","Paul  Penhoët","FR","2001-12-28","Clamart","64","1.73"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","William  Blume Levy","DK","2001-01-14",,,"1.92"
"Jumbo-Visma","TJV","NL","World Tour","Koen  Bouwman","NL","1993-12-02","Ulft","60","1.78"
"Team DSM","DSM","NL","World Tour","Pavel  Bittner","CZ","2002-10-29","Olomouc","73","1.84"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Sergio  Araiz","ES","1998-04-29","Ayegui","61","1.74"
"Trek - Segafredo","TFS","US","World Tour","Bauke  Mollema","NL","1986-11-26","Groningen","64","1.84"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Iker  Ballarin","ES","1997-05-04",,,
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Mauro  Schmid","CH","1999-12-04","Bülach","70","1.87"
"Lotto Soudal","LTS","BE","World Tour","Roger  Kluge","DE","1986-02-05","Eisenhüttenstadt","83","1.92"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Guillaume Van Keirsbulck","BE","1991-02-14","Roeselare","89","1.92"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Maxime  Bouet","FR","1986-11-03","Belley","67","1.83"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Laurent  Pichon","FR","1986-07-19","Quimper","69","1.78"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Aimé De Gendt","BE","1994-06-17","Denderhoutem","75","1.82"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Peio  Goikoetxea","ES","1992-02-14",,,
"Trek - Segafredo","TFS","US","World Tour","Marc  Brustenga","ES","1999-09-04","Santa Eulàlia de Ronçana","78","1.9"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Natnael  Tesfatsion","ER","1999-05-23","Asmara","60","1.75"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Cameron  Meyer","AU","1988-01-11","Viveash","70","1.81"
"AG2R Citroën Team","ACT","FR","World Tour","Clément  Champoussin","FR","1998-05-29","Nice","61","1.8"
"Israel - Premier Tech","IPT","IL","World Tour","Matthew  Riccitello","US","2002-03-05","Tucson","55","1.72"
"INEOS Grenadiers","IGD","GB","World Tour","Leo  Hayter","GB","2001-08-10","London","66","1.78"
"TotalEnergies","TEN","FR","Pro Tour","Julien  Simon","FR","1985-10-04","Rennes","65","1.76"
"Burgos-BH","BBH","ES","Pro Tour","Mario  Aparicio","ES","2000-04-23","Aranda de Duero","69","1.85"
"Burgos-BH","BBH","ES","Pro Tour","Daniel  Navarro","ES","1983-07-18","Salamanca","60","1.74"
"Groupama - FDJ","GFC","FR","World Tour","Sébastien  Reichenbach","CH","1989-05-28","Martigny","64","1.78"
"Cofidis","COF","FR","World Tour","Anthony  Perez","FR","1991-04-22","Toulouse","70","1.9"
"Trek - Segafredo","TFS","US","World Tour","Thibau  Nys","BE","2002-11-12","Bonheiden","64","1.76"
"Team DSM","DSM","NL","World Tour","Leon  Heinschke","DE","1999-11-08","Frankfurt an der Oder","70","1.8"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Biniam  Girmay","ER","2000-04-02","Asmara","70","1.84"
"AG2R Citroën Team","ACT","FR","World Tour","Marc  Sarreau","FR","1993-06-10","Vierzon","76","1.82"
"Bahrain - Victorious","TBV","BH","World Tour","Sonny  Colbrelli","IT","1990-05-17"," Desenzano del Garda","74","1.76"
"EF Education-EasyPost","EFE","US","World Tour","Owain  Doull","GB","1993-05-02","Cardiff","71","1.81"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Miguel  Heidemann","DE","1998-01-27",,,"1.87"
"UAE Team Emirates","UAD","AE","World Tour","Arthur  Kluckers","LU","2000-03-15","Luxembourg","71","1.92"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Kasper  Asgreen","DK","1995-02-08","Kolding","75","1.91"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Fabio Van den Bossche","BE","2000-09-21","Ghent","63","1.76"
"Team DSM","DSM","NL","World Tour","Andreas  Leknessund","NO","1999-05-21","Tromsø","72","1.86"
"Israel - Premier Tech","IPT","IL","World Tour","Dylan  Teuns","BE","1992-03-01","Diest","64","1.81"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Alex  Tolio","IT","2000-03-30",,,
"Team BikeExchange - Jayco","BEX","AU","World Tour","Tanel  Kangert","EE","1987-03-11","Vändra","65","1.78"
"Lotto Soudal","LTS","BE","World Tour","Carlos  Barbero","ES","1991-04-29","Burgos","66","1.78"
"Jumbo-Visma","TJV","NL","World Tour","Tobias  Foss","NO","1997-05-25","Vingrom","74","1.84"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Pablo  Castrillo","ES","2001-01-02","Jaca","63","1.83"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Henok  Mulubrhan","ER","1999-11-11","Asmara","60","1.76"
"UAE Team Emirates","UAD","AE","World Tour","Jan  Polanc","SI","1992-05-06","Kranj","62","1.72"
"Jumbo-Visma","TJV","NL","World Tour","Lennard  Hofstede","NL","1994-12-29","Poeldijk","73","1.88"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Jaime  Castrillo","ES","1996-03-13","Jaca","65","1.86"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Jules  Hesters","BE","1998-11-11","Ghent","72","1.8"
"Team DSM","DSM","NL","World Tour","Nico  Denz","DE","1994-02-15","Waldshut-Tiengen","71","1.83"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Ibon  Ruiz","ES","1999-01-30","Vitoria","63","1.78"
"Lotto Soudal","LTS","BE","World Tour","Kamil  Małecki","PL","1996-01-02","Bytów","69","1.74"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Unai  Iribar","ES","1999-06-12",,,
"Trek - Segafredo","TFS","US","World Tour","Antwan  Tolhoek","NL","1994-04-29","Yerseke","61","1.78"
"Burgos-BH","BBH","ES","Pro Tour","Óscar  Pelegrí","ES","1994-05-30","Castellón de la Plana","63","1.75"
"BORA - hansgrohe","BOH","DE","World Tour","Luis-Joe  Lührs","DE","2003-01-20","München","66","1.79"
"Movistar Team","MOV","ES","World Tour","Enric  Mas","ES","1995-01-07","Artà","61","1.77"
"EF Education-EasyPost","EFE","US","World Tour","Georg  Steinhauser","DE","2001-10-21",,"65","1.89"
"Team DSM","DSM","NL","World Tour","Marius  Mayrhofer","DE","2000-09-18","Tübingen","70","1.82"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Jonas  Abrahamsen","NO","1995-09-20","Skien","78","1.83"
"Israel - Premier Tech","IPT","IL","World Tour","Patrick  Bevin","NZ","1991-02-15","Taupo","75","1.8"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Miguel Eduardo  Flórez","CO","1996-02-21","Bogotá","57","1.74"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","David  González","ES","1996-02-21","Fontiveros","68","1.8"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Asier  Etxeberria","ES","1998-07-19",,,
"Burgos-BH","BBH","ES","Pro Tour","Gabriel  Muller","FR","1985-12-04","Bondy","70","1.88"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Juan Fernando  Calle","CO","1999-07-18","Salgar","59","1.77"
"TotalEnergies","TEN","FR","Pro Tour","Sandy  Dujardin","FR","1997-05-29",,,"1.78"
"TotalEnergies","TEN","FR","Pro Tour","Lorrenzo  Manzin","FR","1994-07-26","Saint-Denis","69","1.75"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Fabio  Mazzucco","IT","1999-04-14","Conselve","69","1.83"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Loïc  Vliegen","BE","1993-12-20"," Rocourt","70","1.84"
"EOLO-Kometa","EOK","IT","Pro Tour","Daniel  Viegas","PT","1998-01-05","Faro","70","1.86"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Aaron Van Poucke","BE","1998-04-04","Bruges","68","1.77"
"BORA - hansgrohe","BOH","DE","World Tour","Ben  Zwiehoff","DE","1994-02-22","Essen","61","1.82"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Leonardo  Marchiori","IT","1998-06-13","Mirano","70","1.7"
"Israel - Premier Tech","IPT","IL","World Tour","Reto  Hollenstein","CH","1985-08-22","Frauenfeld","80","1.97"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Igor  Arrieta","ES","2002-12-08","Uharte Arakil","64","1.82"
"EOLO-Kometa","EOK","IT","Pro Tour","Mirco  Maestri","IT","1991-10-26","Guastalla","73","1.85"
"Israel - Premier Tech","IPT","IL","World Tour","Krists  Neilands","LV","1994-08-18","Ventspils","69","1.89"
"UAE Team Emirates","UAD","AE","World Tour","Rui  Oliveira","PT","1996-09-05","Vila Nova de Gaia","69","1.83"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Eduard-Michael  Grosu","RO","1992-09-04","Zărnești","68","1.73"
"EOLO-Kometa","EOK","IT","Pro Tour","Alex  Martín","ES","2000-01-25","Premiá de Mar","60","1.74"
"Team DSM","DSM","NL","World Tour","Romain  Combaud","FR","1991-04-01","Saint-Doulchard","63","1.75"
"INEOS Grenadiers","IGD","GB","World Tour","Ethan  Hayter","GB","1998-09-18","London","69","1.8"
"Bahrain - Victorious","TBV","BH","World Tour","Damiano  Caruso","IT","1987-10-12","Ragusa","67","1.79"
"Lotto Soudal","LTS","BE","World Tour","Arnaud De Lie","BE","2002-03-16","Libramont","78","1.82"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Luca  Rastelli","IT","1999-12-29",,,"1.75"
"UAE Team Emirates","UAD","AE","World Tour","Oliviero  Troia","IT","1994-09-01"," Bordighera ","80","1.91"
"EOLO-Kometa","EOK","IT","Pro Tour","Andrea  Montoli","IT","2002-04-09",,"66","1.74"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Adrien  Lagrée","FR","1997-04-25","Saint-Hilaire-du-Harcouët","66","1.76"
